system:index,count,hotspot,.geo
+15927+65776,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.073505510616885,41.60100048463924]}"
+15928+66305,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.07413797054535,41.93557178679691]}"
+15930+65763,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.075402890402279,41.59277850556921]}"
+15931+65752,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.076035350330743,41.5858214463561]}"
+15932+65761,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.076667810259208,41.59151358571228]}"
+15932+66319,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.076351580294975,41.94442622579542]}"
+15934+65750,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.077932730116135,41.58455652649917]}"
+15934+66304,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.077932730116135,41.93493932686845]}"
+15936+66308,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.079197649973064,41.93746916658231]}"
+15937+65755,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.079830109901529,41.58771882614149]}"
+15937+65758,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.079830109901529,41.58961620592688]}"
+15937+65768,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.079830109901529,41.59594080521153]}"
+15939+65746,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.081095029758458,41.58202668678531]}"
+15941+65752,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.082359949615388,41.5858214463561]}"
+15942+66309,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.08299240954385,41.93810162651077]}"
+15946+66246,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.085522249257709,41.89825665101751]}"
+16045+65730,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.148135782175686,41.57190732792988]}"
+16067+65754,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.162049900601902,41.58708636621303]}"
+16451+64749,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.404914513132235,40.951464138106296]}"
+16493+64871,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.43147783012774,41.02862424937895]}"
+16499+64888,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.435272589698528,41.03905983819862]}"
+16708+65161,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.567456714747589,41.21203762863363]}"
+16712+65171,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.569986554461446,41.21836222791828]}"
+16720+65167,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.575046233889163,41.21583238820442]}"
+16722+65163,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.57631115374609,41.21330254849056]}"
+16780+65767,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.612993829597027,41.595308345283065]}"
+16922+65682,5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.702044187524814,41.541296267392205]}"
+16928+65683,4,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.705649209117063,41.54218171129205]}"
+16932+65684,3,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.708495278795152,41.54281417122052]}"
+16937+65685,5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.71102511850901,41.54344663114898]}"
+16941+65687,4,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.714345533133448,41.54423720605956]}"
+16946+65687,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.717665947757887,41.54471155100591]}"
+16948+65689,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.719247097579048,41.54597647086284]}"
+16952+65690,8,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.721460707328673,41.54581835588072]}"
+16957+65690,3,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.724306777006763,41.5466089307913]}"
+16961+65691,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.727152846684852,41.54724139071977]}"
+16968+65693,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.731896296148335,41.5485063105767]}"
+16984+65097,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.742015655003765,41.17156019321191]}"
+17238+65728,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.902660476833725,41.57032617810872]}"
+17299+66276,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.941240532470054,41.91723044887145]}"
+17333+66173,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.962744170037846,41.85208707623961]}"
+17334+66172,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.963376629966309,41.85145461631115]}"
+17336+66169,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.964641549823238,41.849557236525754]}"
+17338+66166,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.965906469680167,41.847659856740364]}"
+17340+66165,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.967171389537096,41.847027396811896]}"
+17341+66163,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.967803849465561,41.84576247695497]}"
+17342+66162,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.968436309394024,41.845130017026506]}"
+17343+66161,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.969068769322488,41.84449755709804]}"
+17344+66160,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.969701229250953,41.84354886720534]}"
+17346+66158,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.97064991914365,41.84260017731265]}"
+17729+66413,10001898,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.00006104222264,41.00270719085403]}"
+18335+63258,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.596469018359183,40.00846638476586]}"
+18345+63269,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.602793617643828,40.01542344397897]}"
+18345+63271,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.602793617643828,40.0166883638359]}"
+18346+63268,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.603426077572292,40.01479098405051]}"
+18362+63342,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.613545436427723,40.06159301875687]}"
+18369+63249,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.617972655926973,40.00277424540968]}"
+18369+63274,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.617972655926973,40.01858574362129]}"
+18370+63250,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.618605115855438,40.00340670533814]}"
+18381+63273,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.625562175068547,40.017953283692826]}"
+18385+63279,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.628092014782403,40.021748043263614]}"
+18388+63282,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.629989394567797,40.023645423049004]}"
+18393+63274,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.633151694210119,40.01858574362129]}"
+18394+63271,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.633784154138583,40.0166883638359]}"
+18399+63308,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.636946453780906,40.04008938118908]}"
+18400+63273,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.63757891370937,40.017953283692826]}"
+18401+63282,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.638211373637834,40.023645423049004]}"
+18401+63286,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.638211373637834,40.02617526276286]}"
+18401+63321,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.638211373637834,40.04831136025912]}"
+18401+63331,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.638211373637834,40.05463595954376]}"
+18401+63379,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.638211373637834,40.084994036110054]}"
+18401+63399,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.638211373637834,40.09764323467934]}"
+18401+63436,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.638211373637834,40.121044252032526]}"
+18402+63281,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.638843833566298,40.02301296312054]}"
+18404+63281,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.640108753423227,40.02301296312054]}"
+18405+63402,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.640741213351692,40.099540614464736]}"
+18408+63371,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.642638593137086,40.07993435668234]}"
+18408+63448,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.642638593137086,40.128633771174094]}"
+18411+63400,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.644535972922478,40.09827569460781]}"
+18413+63396,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.645800892779407,40.09574585489395]}"
+18413+63452,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.645800892779407,40.13116361088795]}"
+18414+63392,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.646433352707872,40.09321601518009]}"
+18415+63334,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.646749582672104,40.05653333932916]}"
+18416+63396,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.647698272564801,40.09574585489395]}"
+18417+63399,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.648330732493266,40.09764323467934]}"
+18421+63450,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.650860572207122,40.12989869103102]}"
+18423+63310,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.652125492064052,40.041354301046006]}"
+18423+63449,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.652125492064052,40.12926623110256]}"
+18427+63468,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.65465533177791,40.141282969743386]}"
+18430+63443,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.656552711563302,40.125471471531775]}"
+18432+63398,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.657817631420231,40.09701077475088]}"
+18433+63371,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.658450091348696,40.07993435668234]}"
+18435+63370,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.659398781241393,40.079301896753876]}"
+18435+63398,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.659715011205625,40.09701077475088]}"
+18436+63369,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.660347471134088,40.07866943682541]}"
+18436+63376,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.660347471134088,40.083096656324656]}"
+18438+63399,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.661612390991017,40.09764323467934]}"
+18440+63464,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.662877310847946,40.13875313002953]}"
+18442+63481,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.664142230704876,40.14950494881342]}"
+18443+63371,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.66477469063334,40.07993435668234]}"
+18443+63398,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.66477469063334,40.096694544786644]}"
